rank	file	frame	status	res_before	res_after	n_match	spread
1553	1553_nbacourt_1953_frame_0025_png.rf.7a2ea6.jpg	nbacourt_1953_frame_0025_png.rf.7a2ea6	SNAPPED	1.686692237854004	0.4838455319404602	58	0.397
1554	1554_nbacourt_1459_frame_0007_png.rf.cb9d1e.jpg	nbacourt_1459_frame_0007_png.rf.cb9d1e	SNAPPED	1.0390219688415527	0.4838308095932007	66	0.235
1555	1555_nbacourt_0023_frame_0000_png.rf.26a463.jpg	nbacourt_0023_frame_0000_png.rf.26a463	SNAPPED	1.8372395038604736	0.48317646980285645	138	0.533
1556	1556_nbacourt_1711_frame_0010_png.rf.5f94c7.jpg	nbacourt_1711_frame_0010_png.rf.5f94c7	SNAPPED	1.9837071895599365	0.48294082283973694	72	0.515
1557	1557_nbacourt_1039_frame_0005_png.rf.7047cc.jpg	nbacourt_1039_frame_0005_png.rf.7047cc	SNAPPED	1.56902015209198	0.48286688327789307	69	0.248
1558	1558_nbacourt_0141_frame_0001_png.rf.00803a.jpg	nbacourt_0141_frame_0001_png.rf.00803a	SNAPPED	0.9856656789779663	0.4827410578727722	65	0.474
1559	1559_nbacourt_0710_frame_0003_png.rf.ceb907.jpg	nbacourt_0710_frame_0003_png.rf.ceb907	SNAPPED	1.00978422164917	0.48270171880722046	85	0.364
1560	1560_nbacourt_0671_frame_0003_png.rf.a78871.jpg	nbacourt_0671_frame_0003_png.rf.a78871	SNAPPED	1.2187080383300781	0.48261383175849915	105	0.409
1561	1561_nbacourt_1657_frame_0009_png.rf.9296c8.jpg	nbacourt_1657_frame_0009_png.rf.9296c8	SNAPPED	1.5682978630065918	0.48232489824295044	50	0.218
1562	1562_nbacourt_0774_frame_0004_png.rf.2367bc.jpg	nbacourt_0774_frame_0004_png.rf.2367bc	SNAPPED	0.9235184192657471	0.48225998878479004	98	0.257
1563	1563_nbacourt_2079_frame_0006_png.rf.48d107.jpg	nbacourt_2079_frame_0006_png.rf.48d107	SNAPPED	0.6059906482696533	0.48213884234428406	92	0.346
1564	1564_nbacourt_0345_frame_0002_png.rf.115f3a.jpg	nbacourt_0345_frame_0002_png.rf.115f3a	SNAPPED	0.886128842830658	0.4819444417953491	91	0.455
1565	1565_nbacourt_1191_frame_0006_png.rf.1e36a4.jpg	nbacourt_1191_frame_0006_png.rf.1e36a4	SNAPPED	1.5735509395599365	0.4819290041923523	68	0.374
1566	1566_nbacourt_1465_frame_0007_png.rf.daf386.jpg	nbacourt_1465_frame_0007_png.rf.daf386	SNAPPED	1.245373010635376	0.4817754030227661	73	0.247
1567	1567_nbacourt_0585_frame_0003_png.rf.3e3f44.jpg	nbacourt_0585_frame_0003_png.rf.3e3f44	SNAPPED	1.5797159671783447	0.48168307542800903	50	0.338
1568	1568_nbacourt_1264_frame_0006_png.rf.9ad78c.jpg	nbacourt_1264_frame_0006_png.rf.9ad78c	SNAPPED	1.726035237312317	0.4814375638961792	107	0.670
1569	1569_nbacourt_2188_frame_0002_png.rf.683be1.jpg	nbacourt_2188_frame_0002_png.rf.683be1	SNAPPED	1.031975269317627	0.4814055860042572	109	0.328
1570	1570_nbacourt_1368_frame_0007_png.rf.2b9f95.jpg	nbacourt_1368_frame_0007_png.rf.2b9f95	SNAPPED	1.2319350242614746	0.4808240234851837	45	0.316
1571	1571_nbacourt_1492_frame_0008_png.rf.048cca.jpg	nbacourt_1492_frame_0008_png.rf.048cca	SNAPPED	0.9410400390625	0.4808160066604614	130	0.474
1572	1572_nbacourt_0306_frame_0001_png.rf.e656db.jpg	nbacourt_0306_frame_0001_png.rf.e656db	SNAPPED	0.9909555912017822	0.4803047776222229	122	0.397
1573	1573_nbacourt_0273_frame_0001_png.rf.b1f413.jpg	nbacourt_0273_frame_0001_png.rf.b1f413	SNAPPED	1.1805237531661987	0.4803018569946289	120	0.443
1574	1574_nbacourt_1826_frame_0012_png.rf.f08a28.jpg	nbacourt_1826_frame_0012_png.rf.f08a28	SNAPPED	1.2413153648376465	0.4802584648132324	64	0.424
