rank	file	frame	game	floor_frac	old-aug_sane	old-aug_res	old-aug_match	old-aug_pts	NEW-33_sane	NEW-33_res	NEW-33_match	NEW-33_pts	NEW-grid_sane	NEW-grid_res	NEW-grid_match	NEW-grid_pts
541	0541_qAeUUwn-A8s_s2580_t0002.jpg	qAeUUwn-A8s_s2580_t0002	2024 DEN@MIN	0.496	1	5.9147539138793945	52	9	1	5.503424644470215	35	10	1	6.440514087677002	21	42
542	0542_qAeUUwn-A8s_s4200_t0086.jpg	qAeUUwn-A8s_s4200_t0086	2024 DEN@MIN	0.403	1	3.236248016357422	54	10	1	5.160632133483887	62	11	1	6.432502746582031	66	28
543	0543_8Ap3jYl0nAA_s3300_t0238.jpg	8Ap3jYl0nAA_s3300_t0238	2019 TOR@PHI	0.287	1	6.4157304763793945	25	6	1	5.340270042419434	47	10	1	6.419341564178467	26	44
544	0544_H56iR3188P0_s6540_t0150.jpg	H56iR3188P0_s6540_t0150	2013 SAS@MIA	0.216	0	nan	0	12	1	3.7522716522216797	38	12	1	6.413749694824219	52	34
545	0545_qAeUUwn-A8s_s4200_t0278.jpg	qAeUUwn-A8s_s4200_t0278	2024 DEN@MIN	0.467	1	5.380351543426514	75	11	1	3.7218098640441895	92	12	1	6.404595851898193	92	29
546	0546_H56iR3188P0_s1620_t0000.jpg	H56iR3188P0_s1620_t0000	2013 SAS@MIA	0.258	1	5.487870216369629	22	6	1	5.497669696807861	46	14	1	6.3958234786987305	27	48
547	0547_8Ap3jYl0nAA_s3300_t0134.jpg	8Ap3jYl0nAA_s3300_t0134	2019 TOR@PHI	0.280	0	nan	0	4	0	nan	0	0	1	6.394459247589111	33	50
548	0548_8Ap3jYl0nAA_s5340_t0012.jpg	8Ap3jYl0nAA_s5340_t0012	2019 TOR@PHI	0.153	0	nan	0	0	1	5.505599021911621	20	16	1	6.394343852996826	42	40
549	0549_92fLApYaCGI_s5580_t0258.jpg	92fLApYaCGI_s5580_t0258	1998 CHI@UTA	0.203	1	nan	15	19	1	nan	12	18	1	6.388497829437256	28	47
550	0550_92fLApYaCGI_s5580_t0014.jpg	92fLApYaCGI_s5580_t0014	1998 CHI@UTA	0.262	0	nan	0	15	1	nan	16	16	1	6.381396293640137	25	45
551	0551_92fLApYaCGI_s1380_t0058.jpg	92fLApYaCGI_s1380_t0058	1998 CHI@UTA	0.289	1	4.500011444091797	27	14	1	5.5000762939453125	27	17	1	6.376288414001465	32	47
552	0552_qAeUUwn-A8s_s4200_t0148.jpg	qAeUUwn-A8s_s4200_t0148	2024 DEN@MIN	0.430	1	4.576688766479492	42	9	1	3.5293734073638916	70	10	1	6.373489856719971	50	22
