rank	file	frame	n_code2	flag	verts_on	med_px	support
880	0880_nbacourt_1409_frame_0007_png.rf.7a2d1a.jpg	nbacourt_1409_frame_0007_png.rf.7a2d1a	5	-	10	17.89	0.284
881	0881_nbacourt_1456_frame_0007_png.rf.c8be8c.jpg	nbacourt_1456_frame_0007_png.rf.c8be8c	5	-	10	17.89	0.280
882	0882_nbacourt_2152_frame_0012_png.rf.fadb42.jpg	nbacourt_2152_frame_0012_png.rf.fadb42	5	-	11	17.89	0.284
883	0883_nbacourt_0506_frame_0002_png.rf.e02054.jpg	nbacourt_0506_frame_0002_png.rf.e02054	7	-	18	17.87	0.291
884	0884_nbacourt_1943_frame_0021_png.rf.fbe460.jpg	nbacourt_1943_frame_0021_png.rf.fbe460	6	-	13	17.87	0.264
885	0885_nbacourt_0401_frame_0002_png.rf.5df3cd.jpg	nbacourt_0401_frame_0002_png.rf.5df3cd	7	-	16	17.86	0.261
886	0886_nbacourt_1357_frame_0007_png.rf.1ba7c0.jpg	nbacourt_1357_frame_0007_png.rf.1ba7c0	5	-	11	17.86	0.244
887	0887_nbacourt_1364_frame_0007_png.rf.294954.jpg	nbacourt_1364_frame_0007_png.rf.294954	5	-	14	17.85	0.265
888	0888_nbacourt_1123_frame_0005_png.rf.cb63f1.jpg	nbacourt_1123_frame_0005_png.rf.cb63f1	6	-	16	17.83	0.200
889	0889_nbacourt_2202_frame_0004_png.rf.0cd5ac.jpg	nbacourt_2202_frame_0004_png.rf.0cd5ac	6	-	14	17.83	0.270
890	0890_nbacourt_0079_frame_0000_png.rf.990f1e.jpg	nbacourt_0079_frame_0000_png.rf.990f1e	6	-	13	17.80	0.309
891	0891_nbacourt_0375_frame_0002_png.rf.42e605.jpg	nbacourt_0375_frame_0002_png.rf.42e605	6	-	14	17.80	0.222
892	0892_nbacourt_0979_frame_0005_png.rf.1e2c98.jpg	nbacourt_0979_frame_0005_png.rf.1e2c98	6	-	15	17.80	0.324
893	0893_nbacourt_1291_frame_0006_png.rf.c6855c.jpg	nbacourt_1291_frame_0006_png.rf.c6855c	5	-	13	17.80	0.217
894	0894_nbacourt_0668_frame_0003_png.rf.a4263e.jpg	nbacourt_0668_frame_0003_png.rf.a4263e	5	-	14	17.78	0.176
895	0895_nbacourt_0034_frame_0000_png.rf.38e137.jpg	nbacourt_0034_frame_0000_png.rf.38e137	8	-	14	17.78	0.205
896	0896_nbacourt_1662_frame_0009_png.rf.a820bd.jpg	nbacourt_1662_frame_0009_png.rf.a820bd	6	-	15	17.78	0.268
897	0897_nbacourt_0676_frame_0003_png.rf.ae2bba.jpg	nbacourt_0676_frame_0003_png.rf.ae2bba	6	-	15	17.77	0.204
898	0898_nbacourt_1467_frame_0007_png.rf.e21869.jpg	nbacourt_1467_frame_0007_png.rf.e21869	6	-	13	17.77	0.253
899	0899_nbacourt_1550_frame_0008_png.rf.75e953.jpg	nbacourt_1550_frame_0008_png.rf.75e953	6	-	12	17.77	0.174
900	0900_nbacourt_1963_frame_0029_png.rf.ddb41a.jpg	nbacourt_1963_frame_0029_png.rf.ddb41a	5	-	11	17.77	0.280
901	0901_nbacourt_1278_frame_0006_png.rf.b5f243.jpg	nbacourt_1278_frame_0006_png.rf.b5f243	6	-	14	17.75	0.216
902	0902_nbacourt_1134_frame_0005_png.rf.d8fae1.jpg	nbacourt_1134_frame_0005_png.rf.d8fae1	6	-	16	17.75	0.208
903	0903_nbacourt_1599_frame_0008_png.rf.fb6d1f.jpg	nbacourt_1599_frame_0008_png.rf.fb6d1f	7	-	16	17.75	0.218
904	0904_nbacourt_0832_frame_0004_png.rf.6a019b.jpg	nbacourt_0832_frame_0004_png.rf.6a019b	5	-	13	17.72	0.239
905	0905_nbacourt_1254_frame_0006_png.rf.85d497.jpg	nbacourt_1254_frame_0006_png.rf.85d497	4	-	10	17.70	0.250
906	0906_nbacourt_0259_frame_0001_png.rf.a4174a.jpg	nbacourt_0259_frame_0001_png.rf.a4174a	7	-	18	17.69	0.205
907	0907_nbacourt_1000_frame_0005_png.rf.36121b.jpg	nbacourt_1000_frame_0005_png.rf.36121b	6	-	15	17.69	0.272
908	0908_nbacourt_1084_frame_0005_png.rf.a8fd64.jpg	nbacourt_1084_frame_0005_png.rf.a8fd64	5	-	12	17.64	0.204
909	0909_nbacourt_1789_frame_0011_png.rf.c2ad41.jpg	nbacourt_1789_frame_0011_png.rf.c2ad41	6	-	14	17.64	0.245
910	0910_nbacourt_1799_frame_0011_png.rf.fde631.jpg	nbacourt_1799_frame_0011_png.rf.fde631	6	-	12	17.64	0.255
911	0911_nbacourt_1812_frame_0012_png.rf.74dd34.jpg	nbacourt_1812_frame_0012_png.rf.74dd34	6	-	12	17.64	0.263
912	0912_nbacourt_2016_frame_0002_png.rf.a6a8c1.jpg	nbacourt_2016_frame_0002_png.rf.a6a8c1	6	-	14	17.64	0.274
913	0913_nbacourt_0725_frame_0003_png.rf.dda7b7.jpg	nbacourt_0725_frame_0003_png.rf.dda7b7	6	-	15	17.62	0.237
914	0914_nbacourt_1390_frame_0007_png.rf.489d61.jpg	nbacourt_1390_frame_0007_png.rf.489d61	5	-	10	17.62	0.268
915	0915_nbacourt_0140_frame_0000_png.rf.ff5506.jpg	nbacourt_0140_frame_0000_png.rf.ff5506	6	-	14	17.60	0.165
916	0916_nbacourt_0042_frame_0000_png.rf.4aff0f.jpg	nbacourt_0042_frame_0000_png.rf.4aff0f	6	-	15	17.60	0.280
917	0917_nbacourt_0550_frame_0003_png.rf.12946d.jpg	nbacourt_0550_frame_0003_png.rf.12946d	6	-	13	17.60	0.297
918	0918_nbacourt_0867_frame_0004_png.rf.8f47e0.jpg	nbacourt_0867_frame_0004_png.rf.8f47e0	6	-	14	17.60	0.217
